wkmrid , wkmridVersioned , accessionNumber , serialCode , kitabooId , isbn10 , isbn13 , electronicIsbn10 , electronicIsbn13 , doi , issn , assetVersion , product , status , productVersion
wkmrid_001 , wkmridversioned_001 ,  01337316/1st_Edition/4  , 01337316  , kitabooId_001 ,  , 978-0-7817-6145-1 ,  , 978-0-7817-6145-1 , doi_001 , issn_001 , assetVersion_001 , VYYHJ  , beta , beta
wkmrid_002 , wkmridversioned_002 ,  01694310/1st_Edition/3  , 01694310  , kitabooId_002 ,  , 978-1-44414-904-3 ,  , 978-1-44414-904-3 , doi_002 , issn_002 , assetVersion_002 , QVTMO  , beta , beta
wkmrid_003 , wkmridversioned_003 ,  01599577/1st_Edition/6  , 01599577  , kitabooId_003 ,  , 978-1-4441-3519-0 ,  , 978-1-4441-3519-0 , doi_003 , issn_003 , assetVersion_003 , GQXJA  , beta , beta
wkmrid_004 , wkmridversioned_004 ,  01599578/1st_Edition/5  , 01599578  , kitabooId_004 ,  , 978-1-444-11793-6 ,  , 978-1-444-11793-6 , doi_004 , issn_004 , assetVersion_004 , EIHFO  , beta , beta
wkmrid_005 , wkmridversioned_005 ,  01438549/1st_Edition/3  , 01438549  , kitabooId_005 ,  , 978-0-340-96833-8 ,  , 978-0-340-96833-8 , doi_005 , issn_005 , assetVersion_005 , XXBPD  , beta , beta
wkmrid_006 , wkmridversioned_006 ,  02134375/2nd_Edition/2  , 02134375  , kitabooId_006 ,  , 978-1-138-71307-9 ,  , 978-1-138-71307-9 , doi_006 , issn_006 , assetVersion_006 , CXUSW  , beta , beta
wkmrid_007 , wkmridversioned_007 ,  01599579/1st_Edition/4  , 01599579  , kitabooId_007 ,  , 978-1-444-11794-3 ,  , 978-1-444-11794-3 , doi_007 , issn_007 , assetVersion_007 , MDEDF  , beta , beta
wkmrid_008 , wkmridversioned_008 ,  02134376/2nd_Edition/2  , 02134376  , kitabooId_008 ,  , 978-1-4987-4723-3 ,  , 978-1-4987-4723-3 , doi_008 , issn_008 , assetVersion_008 , IUAXB  , beta , beta
wkmrid_009 , wkmridversioned_009 ,  01438550/1st_Edition/3  , 01438550  , kitabooId_009 ,  , 978-0-340-96875-8 ,  , 978-0-340-96875-8 , doi_009 , issn_009 , assetVersion_009 , LLJNC  , beta , beta
wkmrid_010 , wkmridversioned_010 ,  02008465/2nd_Edition/2  , 02008465  , kitabooId_010 ,  , 978-1-4987-4774-5 ,  , 978-1-4987-4774-5 , doi_010 , issn_010 , assetVersion_010 , OQSRP  , beta , beta
wkmrid_011 , wkmridversioned_011 ,  01438551/1st_Edition/3  , 01438551  , kitabooId_011 ,  , 978-0-340-98601-1 ,  , 978-0-340-98601-1 , doi_011 , issn_011 , assetVersion_011 , KMJKT  , beta , beta
wkmrid_012 , wkmridversioned_012 ,  01599580/1st_Edition/7  , 01599580  , kitabooId_012 ,  , 978-1-4441-2331-9 ,  , 978-1-4441-2331-9 , doi_012 , issn_012 , assetVersion_012 , IUOBT  , beta , beta
wkmrid_013 , wkmridversioned_013 ,  01437932/2nd_Edition/3  , 01437932  , kitabooId_013 , 0-7637-6054-4 , 978-0-7637-6054-0 , 0-7637-6054-4 , 978-0-7637-6054-0 , doi_013 , issn_013 , assetVersion_013 , KMUIG  , beta , beta
wkmrid_014 , wkmridversioned_014 ,  01382337/1st_Edition/3  , 01382337  , kitabooId_014 , 0-7637-3041-6 , 978-0-7637-3041-3 , 0-7637-3041-6 , 978-0-7637-3041-3 , doi_014 , issn_014 , assetVersion_014 , IWOQA  , beta , beta
wkmrid_015 , wkmridversioned_015 ,  01437722/2nd_Edition/5  , 01437722  , kitabooId_015 ,  , 978-0-7637-7760-9 ,  , 978-0-7637-7760-9 , doi_015 , issn_015 , assetVersion_015 , THRGQ  , beta , beta
wkmrid_016 , wkmridversioned_016 ,  01382398/1st_Edition/5  , 01382398  , kitabooId_016 , 0-7637-2361-4 , 9780763740559 , 0-7637-2361-4 , 9780763740559 , doi_016 , issn_016 , assetVersion_016 , KUPSF  , beta , beta
wkmrid_017 , wkmridversioned_017 ,  01437686/1st_Edition/4  , 01437686  , kitabooId_017 ,  , 978-0-7637-7764-7 ,  , 978-0-7637-7764-7 , doi_017 , issn_017 , assetVersion_017 , AXCYW  , beta , beta
wkmrid_018 , wkmridversioned_018 ,  01382338/1st_Edition/4  , 01382338  , kitabooId_018 , 0-7637-3638-4 , 978-0-7637-3638-5 , 0-7637-3638-4 , 978-0-7637-3638-5 , doi_018 , issn_018 , assetVersion_018 , GVBYR  , beta , beta
wkmrid_019 , wkmridversioned_019 ,  01382341/1st_Edition/3  , 01382341  , kitabooId_019 , 0-7637-3897-2 , 978-0-7637-3897-6 , 0-7637-3897-2 , 978-0-7637-3897-6 , doi_019 , issn_019 , assetVersion_019 , JLLBO  , beta , beta
wkmrid_020 , wkmridversioned_020 ,  01382242/1st_Edition/11  , 01382242  , kitabooId_020 , 0-7637-3967-7 , 978-0-7637-3967-6 , 0-7637-3967-7 , 978-0-7637-3967-6 , doi_020 , issn_020 , assetVersion_020 , RMHGJ  , beta , beta
wkmrid_021 , wkmridversioned_021 ,  01437687/2nd_Edition/5  , 01437687  , kitabooId_021 ,  , 978-0-7637-7638-1 ,  , 978-0-7637-7638-1 , doi_021 , issn_021 , assetVersion_021 , ALKRV  , beta , beta
wkmrid_022 , wkmridversioned_022 ,  01437723/2nd_Edition/4  , 01437723  , kitabooId_022 , 0-7637-7759-5 , 978-0-7637-7759-3 , 0-7637-7759-5 , 978-0-7637-7759-3 , doi_022 , issn_022 , assetVersion_022 , LEERX  , beta , beta
wkmrid_023 , wkmridversioned_023 ,  01382342/1st_Edition/2  , 01382342  , kitabooId_023 , 0-7637-4567-7 , 978-0-7637-4567-7 , 0-7637-4567-7 , 978-0-7637-4567-7 , doi_023 , issn_023 , assetVersion_023 , SDHSI  , beta , beta
wkmrid_024 , wkmridversioned_024 ,  01437688/1st_Edition/5  , 01437688  , kitabooId_024 ,  , 978-0-7637-5539-3 ,  , 978-0-7637-5539-3 , doi_024 , issn_024 , assetVersion_024 , FDQJY  , beta , beta
wkmrid_025 , wkmridversioned_025 ,  01382244/1st_Edition/14  , 01382244  , kitabooId_025 , 0-7637-4042-X , 978-0-7637-4042-9 , 0-7637-4042-X , 978-0-7637-4042-9 , doi_025 , issn_025 , assetVersion_025 , CWOMX  , beta , beta
wkmrid_026 , wkmridversioned_026 ,  01437689/1st_Edition/5  , 01437689  , kitabooId_026 ,  , 978-0-7637-6872-0 ,  , 978-0-7637-6872-0 , doi_026 , issn_026 , assetVersion_026 , LOPYY  , beta , beta
wkmrid_027 , wkmridversioned_027 ,  01857029/3rd_Edition/2  , 01857029  , kitabooId_027 ,  , 978-1-284-02256-8 ,  , 978-1-284-02256-8 , doi_027 , issn_027 , assetVersion_027 , EWJJC  , beta , beta
wkmrid_028 , wkmridversioned_028 ,  01437712/2nd_Edition/5  , 01437712  , kitabooId_028 , 0-7637-4499-9 , 978-0-7637-4499-1 , 0-7637-4499-9 , 978-0-7637-4499-1 , doi_028 , issn_028 , assetVersion_028 , UWKQC  , beta , beta
wkmrid_029 , wkmridversioned_029 ,  01437713/1st_Edition/6  , 01437713  , kitabooId_029 ,  , 978-0-7637-6436-4 ,  , 978-0-7637-6436-4 , doi_029 , issn_029 , assetVersion_029 , DVTWQ  , beta , beta
wkmrid_030 , wkmridversioned_030 ,  01437721/1st_Edition/5  , 01437721  , kitabooId_030 ,  , 978-0-7637-8181-1 ,  , 978-0-7637-8181-1 , doi_030 , issn_030 , assetVersion_030 , NIYYO  , beta , beta
wkmrid_031 , wkmridversioned_031 ,  01382357/1st_Edition/4  , 01382357  , kitabooId_031 , 0-7637-3591-4 , 978-0-7637-3591-3 , 0-7637-3591-4 , 978-0-7637-3591-3 , doi_031 , issn_031 , assetVersion_031 , GCIOM  , beta , beta
wkmrid_032 , wkmridversioned_032 ,  01515476/2nd_Edition/2  , 01515476  , kitabooId_032 , 0-7637-6412-4 , 978-0-7637-6412-8 , 0-7637-6412-4 , 978-0-7637-6412-8 , doi_032 , issn_032 , assetVersion_032 , UNQFP  , beta , beta
wkmrid_033 , wkmridversioned_033 ,  01437714/2nd_Edition/7  , 01437714  , kitabooId_033 ,  , 978-0-7637-7780-7 ,  , 978-0-7637-7780-7 , doi_033 , issn_033 , assetVersion_033 , HYOJQ  , beta , beta
wkmrid_034 , wkmridversioned_034 ,  01382339/1st_Edition/4  , 01382339  , kitabooId_034 , 0-7637-4546-4 , 978-0-7637-4546-2 , 0-7637-4546-4 , 978-0-7637-4546-2 , doi_034 , issn_034 , assetVersion_034 , OMRDI  , beta , beta
wkmrid_035 , wkmridversioned_035 ,  01437715/2nd_Edition/7  , 01437715  , kitabooId_035 , 0-7637-6033-1 , 978-0-7637-6033-5 , 0-7637-6033-1 , 978-0-7637-6033-5 , doi_035 , issn_035 , assetVersion_035 , AKAHO  , beta , beta
wkmrid_036 , wkmridversioned_036 ,  01437716/1st_Edition/5  , 01437716  , kitabooId_036 ,  , 978-0-7637-5866-0 ,  , 978-0-7637-5866-0 , doi_036 , issn_036 , assetVersion_036 , IOHOH  , beta , beta
wkmrid_037 , wkmridversioned_037 ,  01437717/2nd_Edition/5  , 01437717  , kitabooId_037 ,  , 978-0-7637-7735-7 ,  , 978-0-7637-7735-7 , doi_037 , issn_037 , assetVersion_037 , DEVWK  , beta , beta
wkmrid_038 , wkmridversioned_038 ,  01437718/2nd_Edition/4  , 01437718  , kitabooId_038 ,  , 978-0-7637-7657-2 ,  , 978-0-7637-7657-2 , doi_038 , issn_038 , assetVersion_038 , CXPMA  , beta , beta
wkmrid_039 , wkmridversioned_039 ,  01382340/1st_Edition/8  , 01382340  , kitabooId_039 , 0-7637-3654-6 , 978-0-7637-3654-5 , 0-7637-3654-6 , 978-0-7637-3654-5 , doi_039 , issn_039 , assetVersion_039 , JUXGB  , beta , beta
wkmrid_040 , wkmridversioned_040 ,  01437673/1st_Edition/5  , 01437673  , kitabooId_040 ,  , 978-0-7637-7886-6 ,  , 978-0-7637-7886-6 , doi_040 , issn_040 , assetVersion_040 , UQPGX  , beta , beta
wkmrid_041 , wkmridversioned_041 ,  01437685/1st_Edition/7  , 01437685  , kitabooId_041 , 0-7637-4639-8 , 978-0-7637-4639-1 , 0-7637-4639-8 , 978-0-7637-4639-1 , doi_041 , issn_041 , assetVersion_041 , YPRKQ  , beta , beta
wkmrid_042 , wkmridversioned_042 ,  01437719/1st_Edition/6  , 01437719  , kitabooId_042 ,  , 978-0-7637-7832-3 ,  , 978-0-7637-7832-3 , doi_042 , issn_042 , assetVersion_042 , NGDCA  , beta , beta
wkmrid_043 , wkmridversioned_043 ,  01437720/1st_Edition/5  , 01437720  , kitabooId_043 ,  , 978-0-7637-7808-8 ,  , 978-0-7637-7808-8 , doi_043 , issn_043 , assetVersion_043 , RKFFN  , beta , beta
wkmrid_044 , wkmridversioned_044 ,  01382356/1st_Edition/4  , 01382356  , kitabooId_044 , 0-7637-4051-9 , 978-0-7637-4051-1 , 0-7637-4051-9 , 978-0-7637-4051-1 , doi_044 , issn_044 , assetVersion_044 , FGDLC  , beta , beta
wkmrid_045 , wkmridversioned_045 ,  01382243/1st_Edition/5  , 01382243  , kitabooId_045 , 0-7637-4105-1 , 978-0-7637-4105-1 , 0-7637-4105-1 , 978-0-7637-4105-1 , doi_045 , issn_045 , assetVersion_045 , EAHCK  , beta , beta
wkmrid_046 , wkmridversioned_046 ,  01437117/1st_Edition/2  , 01437117  , kitabooId_046 ,  , 978-0-8261-1506-5 ,  , 978-0-8261-1506-5 , doi_046 , issn_046 , assetVersion_046 , OGPCU  , beta , beta
wkmrid_047 , wkmridversioned_047 ,  01838275/2nd_Edition/2  , 01838275  , kitabooId_047 ,  , 978-0-8261-2008-3 ,  , 978-0-8261-2008-3 , doi_047 , issn_047 , assetVersion_047 , QMVHH  , beta , beta
wkmrid_048 , wkmridversioned_048 ,  01437118/1st_Edition/2  , 01437118  , kitabooId_048 , 0-8261-0271-9 , 9780826102713 , 0-8261-0271-9 , 9780826102713 , doi_048 , issn_048 , assetVersion_048 , GVGRI  , beta , beta
wkmrid_050 , wkmridversioned_050 ,  01974522/2nd_Edition/3  , 01974522  , kitabooId_050 ,  , 978-0-8261-9598-2 ,  , 978-0-8261-9598-2 , doi_050 , issn_050 , assetVersion_050 , DQBWP  , beta , beta
wkmrid_051 , wkmridversioned_051 ,  01698940/2nd_Edition/3  , 01698940  , kitabooId_051 ,  , 978-0-8261-0472-4 ,  , 978-0-8261-0472-4 , doi_051 , issn_051 , assetVersion_051 , FLOML  , beta , beta
wkmrid_052 , wkmridversioned_052 ,  01838277/3rd_Edition/3  , 01838277  , kitabooId_052 ,  , 978-0-8261-1904-9 ,  , 978-0-8261-1904-9 , doi_052 , issn_052 , assetVersion_052 , OWNDI  , beta , beta
